batch_idx,num_records,elapsed,throughput,avg_delay
1,22,5.2990710735321045,4.151671056062259,
2,50,1.9971678256988525,25.035452382427557,
3,28,2.0605149269104004,13.58883628277523,
4,30,1.8931641578674316,15.846486357418533,
5,30,1.9989807605743408,15.007648193362549,
6,30,2.5257256031036377,11.877774831571447,
7,30,2.1478517055511475,13.967444736740742,
8,29,2.1753268241882324,13.331330114417149,
9,30,2.057704210281372,14.579354918993813,
10,30,1.5000331401824951,19.999558140662266,
